key;brand;building;domain;local;model;name;nbFaults;niveau;notes;photo;quantity;serialNumber;status
-LHXpVgq7JZ4eioP6pDm;Oldham;Batiment Test;CVC;Chaufferie;SV4B;D tecteur gaz ;1;R-1;"R glage du z ro ainsi que de la sensibilit  au gaz  talon 2,5% LIE CH4 Seuils d alarme : AL1= 25% AL2= 50%Pr voir le remplacement des 4 cellules";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgq7JZ4eioP6pDm%2F011815_Photo%2003-05-2018%2011.01.14.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;;En marche
-LHXpVgrquB1kJbEshQ3;;Batiment Test;BATIMENT;Chaufferie;;Local chaufferie;8;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgrquB1kJbEshQ3%2F011816_Photo%2003-05-2018%2010.30.15.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVh1QjPFdlau4JlI;Pneumatex;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;Vento V 6.1 E;Compensateur de dilatation;0;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVh1QjPFdlau4JlI%2F011817_Photo%2003-05-2018%2010.24.29.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;812 1001;En marche
-LHXpVh2xYiaxov-K5MY;Siemens;Batiment Test;ELECTRICITE COURANTS FAIBLES;Chaufferie;SKC 62-31;Servomoteur R seau chaud;0;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVh2xYiaxov-K5MY%2F011818_Photo%2003-05-2018%2010.27.39.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVh3Z9dBETXscxsk;;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;;Distribution hydraulique  Chaufferie;1;R-1;Bouteille casse pression;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVh3Z9dBETXscxsk%2F011819_Photo%2003-05-2018%2010.29.26.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVh4XmE8NCKrKsdL;Siemens;Batiment Test;ELECTRICITE COURANTS FAIBLES;Chaufferie;RVL 470;Automate R seau chaud;5;R-1;"Programme :Lundi   Dimanche de 5h   22h30Loi de r gulation : Text 15 C -> Tc 30 C, Text -5 C -> Tc 70 CContr ler le r duit de nuit";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVh4XmE8NCKrKsdL%2F011820_Photo%2003-05-2018%2011.06.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signatur;1;;En marche
-LHXpVh7IUBx6ITanjU1;Legrand;Batiment Test;ELECTRICITE COURANTS FAIBLES;Chaufferie;Marina;Armoire automate;6;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVh7IUBx6ITanjU1%2F011821_Photo%2003-05-2018%2011.09.47.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhAq4nHIjic2T-X;Socla;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie; EA 453;Clapet R seau EF;2;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhAq4nHIjic2T-X%2F011822_Photo%2003-05-2018%2011.13.59.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhCx9ZRmMZPM37Y;Watts;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;ACV - CL 125;D tendeur;2;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhCx9ZRmMZPM37Y%2F011823_Photo%2003-05-2018%2011.14.28.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1; 9206-619;En marche
-LHXpVhCx9ZRmMZPM37Z;NUGELEC;Batiment Test;INCENDIE ET SECURITE;LT;Type 1 NFS 61-950;Centrale d tection incendie;3;R-1;4 d tecteurs de fum e;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhCx9ZRmMZPM37Z%2F011824_Photo%2003-05-2018%2011.20.31.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhFhu2T-LIIodhj;;Batiment Test;ELECTRICITE COURANTS FORTS;LT;;Armoire  lectrique;14;R-1;Aucun contr le r glementaire effectu  sur l' quipement, pr sence de multiples d fauts de s curit  et conformit  (absence d'un arr t d'urgence, etc.);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhFhu2T-LIIodhj%2F011825_Photo%2003-05-2018%2011.22.46.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhJ_BRIGkPZOtJu;SAFT URA;Batiment Test;ELECTRICITE COURANTS FORTS;Chaufferie;T 92651;BAES;6;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhJ_BRIGkPZOtJu%2F011826_Photo%2003-05-2018%2011.31.56.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;3;956418;En marche
-LHXpVhNEsNov1Sz4mcz;Isogard;Batiment Test;INCENDIE ET SECURITE;Chaufferie; Poudre ABC;Extincteur   poudre;2;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhNEsNov1Sz4mcz%2F011827_Photo%2003-05-2018%2011.33.09.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhQIdHBXUcOGDkX;Salmson;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;DCX 80-50;Pompe Distribution;6;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhQIdHBXUcOGDkX%2F011828_Photo%2003-05-2018%2011.34.43.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhTdNci5IgqRVK7;;Batiment Test;ELECTRICITE COURANTS FORTS;S/station;;Armoire  lectrique S/station;19;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhTdNci5IgqRVK7%2F011829_Photo%2003-05-2018%2011.58.37.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhWqQ3oBvMHKM3v;Siemens;Batiment Test;ELECTRICITE COURANTS FAIBLES;S/station;RVL 480;Automate R seau chaud b timent G;8;R-1;"Programme :Lundi   Dimanche de 5h   23h00Loi de r gulation : Text 15 C -> Tc 30 C, Text -5 C -> Tc 70 CContr ler le r duit de nuit";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhWqQ3oBvMHKM3v%2F011830_Photo%2003-05-2018%2012.06.39.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhZXZPDQKacyfGA;;Batiment Test;BATIMENT;S/station;;Local technique S/station;4;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhZXZPDQKacyfGA%2F011831_Photo%2003-05-2018%2012.09.28.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;Fonctionnel
-LHXpVhbW3UXEXbfCS9b;Magnum GS;Batiment Test;CVC;S/station;RU 126 D; changeur   plaques S/station;11;R-1;"10h10 d calage de 2hConsigne temp rature 59  C et 58 CTemp rature limite haute 65 CLimite basse 50 CProgramme horaire 22h - 6hAbsence de programme anti legionnelle";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhbW3UXEXbfCS9b%2F011832_Photo%2003-05-2018%2012.11.54.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhkSoo6-UjfcLDv;Salmson;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;S/station;SXM 32-45 F;Pompe Primaire  changeur;9;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhkSoo6-UjfcLDv%2F011833_Photo%2003-05-2018%2012.19.52.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;2062246;En marche
